"trawl","serial","date","week","j.day","station","group","species","taxa.group","n.counted","n.jar","density.l","n.measured","mean.indiv.dry.wt.ug","sd.indiv.dry.wt.ug","mean.indiv.length.mm","sd.indiv.length.mm","biomass.dry.wt.ugL"
2,802,2018-05-14,20,134,525,"Outer","Leptodiaptomus","Calanoid",2,100,0.0197516106071943,2,9.86739690711701,2.06579516618983,1.1473,0.100692005640964,0.194896981416009
2,802,2018-05-14,20,134,525,"Outer","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
2,802,2018-05-14,20,134,525,"Outer","Nauplii","Immature",74,3700,0.730809592466191,30,0.0613496265994151,0.0260843756574502,0.135355172413793,0.0254897820733678,0.0448348956130715
3,804,2018-05-14,20,134,33,"Outer","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
3,804,2018-05-14,20,134,33,"Outer","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
3,804,2018-05-14,20,134,33,"Outer","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
3,804,2018-05-14,20,134,33,"Outer","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
3,804,2018-05-14,20,134,33,"Outer","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
3,804,2018-05-14,20,134,33,"Outer","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
3,804,2018-05-14,20,134,33,"Outer","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
3,804,2018-05-14,20,134,33,"Outer","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
3,804,2018-05-14,20,134,33,"Outer","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
3,804,2018-05-14,20,134,33,"Outer","Leptodiaptomus","Calanoid",2,100,0.0235817708390077,2,10.7876230318314,3.43337199123504,1.18645,0.159594000513804,0.25439125423425
3,804,2018-05-14,20,134,33,"Outer","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
3,804,2018-05-14,20,134,33,"Outer","Nauplii","Immature",34,1700,0.400890104263131,30,0.0981882132006434,0.0439458147793138,0.164424137931034,0.0318103942488302,0.0393626830274164
4,806,2018-05-14,20,134,526,"Outer","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Leptodiaptomus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
4,806,2018-05-14,20,134,526,"Outer","Nauplii","Immature",52,2600,0.498717986589076,31,0.0974935275469363,0.0621734134901481,0.161423333333333,0.0397585530449724,0.0486217757636747
5,808,2018-05-14,20,134,527,"Outer","Bosmina","Cladoceran",1,50,0.00642916972770459,1,0.242588403915998,NA,0.2271,NA,0.00155964202274891
5,808,2018-05-14,20,134,527,"Outer","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
5,808,2018-05-14,20,134,527,"Outer","Calanoid copepodid","Calanoid",1,50,0.00642916972770459,1,2.77905260680763,NA,0.6785,NA,0.0178670008913861
5,808,2018-05-14,20,134,527,"Outer","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
5,808,2018-05-14,20,134,527,"Outer","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
5,808,2018-05-14,20,134,527,"Outer","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
5,808,2018-05-14,20,134,527,"Outer","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
5,808,2018-05-14,20,134,527,"Outer","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
5,808,2018-05-14,20,134,527,"Outer","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
5,808,2018-05-14,20,134,527,"Outer","Leptodiaptomus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
5,808,2018-05-14,20,134,527,"Outer","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
5,808,2018-05-14,20,134,527,"Outer","Nauplii","Immature",63,3150,0.405037692845389,30,0.0834206553728721,0.0388373185736864,0.153572413793103,0.0298289276727873,0.0337885097878784
6,810,2018-05-15,20,135,71,"Inner","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Leptodiaptomus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
6,810,2018-05-15,20,135,71,"Inner","Nauplii","Immature",53,2650,0.365499967077385,31,0.053477404280079,0.0338753260800209,0.125183333333333,0.0325116645734009,0.0195459895037529
7,812,2018-05-15,20,135,66,"Inner","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
7,812,2018-05-15,20,135,66,"Inner","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
7,812,2018-05-15,20,135,66,"Inner","Calanoid copepodid","Calanoid",5,250,0.0216147969237652,5,3.70974998854871,1.63363823709648,0.7531,0.127329454565705,0.0801854926404205
7,812,2018-05-15,20,135,66,"Inner","Cyclopoid copepodid","Cyclopoid",2,100,0.00864591876950608,2,0.969135056472986,0.109676749625718,0.4371,0.0206475180106472,0.00837906297494612
7,812,2018-05-15,20,135,66,"Inner","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
7,812,2018-05-15,20,135,66,"Inner","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
7,812,2018-05-15,20,135,66,"Inner","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
7,812,2018-05-15,20,135,66,"Inner","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
7,812,2018-05-15,20,135,66,"Inner","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
7,812,2018-05-15,20,135,66,"Inner","Leptodiaptomus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
7,812,2018-05-15,20,135,66,"Inner","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
7,812,2018-05-15,20,135,66,"Inner","Nauplii","Immature",135,6750,0.58359951694166,32,0.116873844683796,0.060175280470616,0.175425806451613,0.0390693824517523,0.0682075193005777
8,814,2018-05-15,20,135,45,"Inner","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
8,814,2018-05-15,20,135,45,"Inner","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
8,814,2018-05-15,20,135,45,"Inner","Calanoid copepodid","Calanoid",11,550,0.0556460546796487,11,3.5665579748456,1.85588912042005,0.731627272727273,0.156889216270011,0.198464880086395
8,814,2018-05-15,20,135,45,"Inner","Cyclopoid copepodid","Cyclopoid",2,100,0.0101174644872089,2,1.37365684399676,0.067267458748241,0.5058,0.0103237590053236,0.0138979243367486
8,814,2018-05-15,20,135,45,"Inner","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
8,814,2018-05-15,20,135,45,"Inner","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
8,814,2018-05-15,20,135,45,"Inner","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
8,814,2018-05-15,20,135,45,"Inner","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
8,814,2018-05-15,20,135,45,"Inner","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
8,814,2018-05-15,20,135,45,"Inner","Leptodiaptomus","Calanoid",3,150,0.0151761967308133,3,8.87619067769199,2.10656704187769,1.09566666666667,0.109400380864663,0.134706815944865
8,814,2018-05-15,20,135,45,"Inner","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
8,814,2018-05-15,20,135,45,"Inner","Nauplii","Immature",250,12500,1.26468306090111,32,0.116149382779351,0.142864078433641,0.16701935483871,0.0570182860689144,0.146892156935164
9,816,2018-05-15,20,135,44,"Inner","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
9,816,2018-05-15,20,135,44,"Inner","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
9,816,2018-05-15,20,135,44,"Inner","Calanoid copepodid","Calanoid",13,650,0.0701096299987542,13,5.31509738950732,3.35867554895062,0.852661538461538,0.220077352077482,0.372639511385703
9,816,2018-05-15,20,135,44,"Inner","Cyclopoid copepodid","Cyclopoid",3,150,0.0161791453843279,3,3.91175396834932,0.438869478616734,0.781566666666667,0.0368000452898272,0.0632888361616453
9,816,2018-05-15,20,135,44,"Inner","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
9,816,2018-05-15,20,135,44,"Inner","Diacyclops","Cyclopoid",1,50,0.00539304846144263,1,7.5469490239621,NA,1.0288,NA,0.0407010618222648
9,816,2018-05-15,20,135,44,"Inner","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
9,816,2018-05-15,20,135,44,"Inner","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
9,816,2018-05-15,20,135,44,"Inner","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
9,816,2018-05-15,20,135,44,"Inner","Leptodiaptomus","Calanoid",1,50,0.00539304846144263,1,11.3392940264431,NA,1.219,NA,0.0611533622031544
9,816,2018-05-15,20,135,44,"Inner","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
9,816,2018-05-15,20,135,44,"Inner","Nauplii","Immature",242,12100,1.30511772766912,32,0.126769108722919,0.248046923099014,0.16561935483871,0.0700850313041467,0.165448611115095
10,818,2018-05-15,20,135,87,"Inner","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
10,818,2018-05-15,20,135,87,"Inner","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
10,818,2018-05-15,20,135,87,"Inner","Calanoid copepodid","Calanoid",8,400,0.0680293133161868,8,2.63526642954622,0.457988526520021,0.661375,0.0497246058664262,0.179275365607229
10,818,2018-05-15,20,135,87,"Inner","Cyclopoid copepodid","Cyclopoid",1,50,0.00850366416452334,1,0.722691146499877,NA,0.3871,NA,0.0061455228045093
10,818,2018-05-15,20,135,87,"Inner","Daphnia","Cladoceran",1,50,0.00850366416452334,1,0.428962956614029,NA,0.4414,NA,0.0036477569220667
10,818,2018-05-15,20,135,87,"Inner","Diacyclops","Cyclopoid",1,50,0.00850366416452334,1,4.66713028747752,NA,0.8421,NA,0.0396877085767841
10,818,2018-05-15,20,135,87,"Inner","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
10,818,2018-05-15,20,135,87,"Inner","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
10,818,2018-05-15,20,135,87,"Inner","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
10,818,2018-05-15,20,135,87,"Inner","Leptodiaptomus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
10,818,2018-05-15,20,135,87,"Inner","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
10,818,2018-05-15,20,135,87,"Inner","Nauplii","Immature",206,10300,1.75175481789181,31,0.119616339616903,0.0787981523431062,0.176143333333333,0.0419423058854482,0.209538499222492
11,820,2018-05-21,21,141,525,"Outer","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
11,820,2018-05-21,21,141,525,"Outer","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
11,820,2018-05-21,21,141,525,"Outer","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
11,820,2018-05-21,21,141,525,"Outer","Cyclopoid copepodid","Cyclopoid",1,50,0.00514262498396271,1,3.43352981003353,NA,0.741,NA,0.0176573561842591
11,820,2018-05-21,21,141,525,"Outer","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
11,820,2018-05-21,21,141,525,"Outer","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
11,820,2018-05-21,21,141,525,"Outer","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
11,820,2018-05-21,21,141,525,"Outer","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
11,820,2018-05-21,21,141,525,"Outer","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
11,820,2018-05-21,21,141,525,"Outer","Leptodiaptomus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
11,820,2018-05-21,21,141,525,"Outer","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
11,820,2018-05-21,21,141,525,"Outer","Nauplii","Immature",7,350,0.035998374887739,7,0.0705210163964035,0.0259389652979976,0.144514285714286,0.0236830761354621,0.00253864198570212
12,822,2018-05-21,21,141,139,"Outer","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
12,822,2018-05-21,21,141,139,"Outer","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
12,822,2018-05-21,21,141,139,"Outer","Calanoid copepodid","Calanoid",1,50,0.00631568811676072,1,10.049795327335,NA,1.1592,NA,0.0634713729247272
12,822,2018-05-21,21,141,139,"Outer","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
12,822,2018-05-21,21,141,139,"Outer","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
12,822,2018-05-21,21,141,139,"Outer","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
12,822,2018-05-21,21,141,139,"Outer","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
12,822,2018-05-21,21,141,139,"Outer","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
12,822,2018-05-21,21,141,139,"Outer","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
12,822,2018-05-21,21,141,139,"Outer","Leptodiaptomus","Calanoid",4,200,0.0252627524670429,4,18.0583190773869,2.47147116120059,1.477175,0.0864870462362235,0.456202844822903
12,822,2018-05-21,21,141,139,"Outer","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
12,822,2018-05-21,21,141,139,"Outer","Nauplii","Immature",4,200,0.0252627524670429,4,0.0526040109855607,0.0228902231008917,0.12795,0.0218556628817339,0.00132892210830182
13,824,2018-05-21,21,141,527,"Outer","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
13,824,2018-05-21,21,141,527,"Outer","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
13,824,2018-05-21,21,141,527,"Outer","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
13,824,2018-05-21,21,141,527,"Outer","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
13,824,2018-05-21,21,141,527,"Outer","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
13,824,2018-05-21,21,141,527,"Outer","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
13,824,2018-05-21,21,141,527,"Outer","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
13,824,2018-05-21,21,141,527,"Outer","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
13,824,2018-05-21,21,141,527,"Outer","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
13,824,2018-05-21,21,141,527,"Outer","Leptodiaptomus","Calanoid",1,50,0.00655141450421728,1,12.2645815576541,NA,1.2595,NA,0.0803503575049709
13,824,2018-05-21,21,141,527,"Outer","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
13,824,2018-05-21,21,141,527,"Outer","Nauplii","Immature",2,100,0.0131028290084346,2,0.0401065608716071,0.0151941924634102,0.115,0.0185261976670875,0.00052550940921704
14,826,2018-05-21,21,141,526,"Outer","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Leptodiaptomus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
14,826,2018-05-21,21,141,526,"Outer","Nauplii","Immature",3,150,0.0259377563085182,3,0.0507084526243713,0.0379378763980665,0.122266666666667,0.0389720840260478,0.00131526348695299
15,828,2018-05-21,21,141,33,"Outer","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Leptodiaptomus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
15,828,2018-05-21,21,141,33,"Outer","Nauplii","Immature",9,450,0.0780308269933801,9,0.0420550893852716,0.0238261544795322,0.115133333333333,0.0242781795034142,0.00328159340401326
18,834,2018-05-23,21,143,44,"Inner","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
18,834,2018-05-23,21,143,44,"Inner","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
18,834,2018-05-23,21,143,44,"Inner","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
18,834,2018-05-23,21,143,44,"Inner","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
18,834,2018-05-23,21,143,44,"Inner","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
18,834,2018-05-23,21,143,44,"Inner","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
18,834,2018-05-23,21,143,44,"Inner","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
18,834,2018-05-23,21,143,44,"Inner","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
18,834,2018-05-23,21,143,44,"Inner","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
18,834,2018-05-23,21,143,44,"Inner","Leptodiaptomus","Calanoid",1,50,0.00734834802210785,1,14.1518930899572,NA,1.3369,NA,0.103993035596669
18,834,2018-05-23,21,143,44,"Inner","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
18,834,2018-05-23,21,143,44,"Inner","Nauplii","Immature",36,1800,0.264540528795883,36,0.0520443616648505,0.0270586372085096,0.125583333333333,0.0264609307686419,0.0137678429556637
19,836,2018-05-23,21,143,66,"Inner","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Holopedium","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Leptodiaptomus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Limnocalanus","Calanoid",0,0,0,0,NA,NA,NA,NA,0
19,836,2018-05-23,21,143,66,"Inner","Nauplii","Immature",4,200,0.0299372762541868,4,0.0881311695896688,0.0187548281341145,0.16045,0.0139481181526398,0.0026384071706105
21,840,2018-05-29,22,149,71,"Inner","Bosmina","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
21,840,2018-05-29,22,149,71,"Inner","Bythotrephes","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
21,840,2018-05-29,22,149,71,"Inner","Calanoid copepodid","Calanoid",0,0,0,0,NA,NA,NA,NA,0
21,840,2018-05-29,22,149,71,"Inner","Cyclopoid copepodid","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
21,840,2018-05-29,22,149,71,"Inner","Daphnia","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
21,840,2018-05-29,22,149,71,"Inner","Diacyclops","Cyclopoid",0,0,0,0,NA,NA,NA,NA,0
21,840,2018-05-29,22,149,71,"Inner","Diaphanosoma","Cladoceran",0,0,0,0,NA,NA,NA,NA,0
21,840,2018-05-29,22,149,71,"Inner","Epischura","Calanoid",0,0,0,0,NA,NA,NA,NA,0
